近七天的总销售额	近七天有销售额
上个月的总销售额	上个月有销售额
2008年的总销售额	2008年有销售额
2008年前三季度的总销售额	2008年前三季度有销售额
1986年到2018年间的总销售额	1986年到2018年有销售额
1986年上海浦东有多少人	1986年上海市浦东有人口
1986年上海的人口数是多少	1986年上海市有人口
1986年全国有多少人？	1986年全国有人口
云南省的人口有多少	云南省有人口
省份是云南的人口有多少	云南省有人口
上海、北京的人口有多少？	上海市、北京市有人口
1986年人口超过1亿的有哪些省？	1986年人口超过1亿有省
1986年农村人口超过城镇人口的有哪些省？	1986年农村人口超过城镇人口有省
1986年人口超过一亿并且男女比例低于0.4的有哪些省？	1986年人口超过一亿并且男女比例低于0.4有省
1986年人口不大于1亿的省有哪些	1986年人口不大于1亿有省
1986年人口在1亿到两亿之间的有哪些省？	1986年人口在1亿到两亿之间有省
1986年上海去除浦东区之后的人口有多少？	1986年上海市去除浦东区之后有人口
1985年人口大于全国平均值的有哪些省？	1985年人口大于全国平均值有省
1985年人口超过上海浦东的有哪些区？	1985年人口超过上海市浦东有区名
比上海人口多的省有哪些？	比上海市人口多有省
1986年有哪些城市人口超过了1000万？	1986年城市人口超过了1000万有省
1986年有哪些城市男人比女人少？	1986年男性人口小于女性人口有城市
1986年上海的人口有多少？	1986年上海市有人口
1986年上海的人口	1986年上海市有人口
1984年上海的总人口	1984年上海市有人口
1984年上海的男女分别有多少	1984年上海市有男性人口、女性人口
1984年上海的平均农村人口和平均城镇人口	1984年上海市有农村人口、城镇人口
1984年上海的平均农村人口和城镇人口	1984年上海市有农村人口、城镇人口
1984年上海的平均农村人口和总城镇人口	1984年上海市有农村人口、城镇人口
1984年上海的农村人口和城镇人口	1984年上海市有农村人口、城镇人口
1986年上海的区有哪些	1986年上海市有区名
上海有几个城市？	上海市有几个城市
查看所有数据	数据
各年份上海的总人口	各年份上海市有人口
各年份及省份的总人口	各年份、各省有人口
不同年份上海的总人口	各年份上海市有人口
1986年上海人口最多的是哪个区？	1986年上海市人口最多有区名
10月12日的负面舆情数和评论数	10月12日有负面舆情数、评论数
10月2日2点到5点的车辆信息	10月2日2点到5点有车牌号
11月12号股价涨跌最多的公司	11月12号股价涨跌最多有公司
121班数学不及格的人	121班数学不及格有人
121班数学不及格的十一个学生	121班数学不及格有十一个学生
121班数学分数最高的十人	121班数学分数最高有十人
121班数学成绩倒数的3个学生	121班数学成绩倒数有3个学生
121班的学生数	121班有学生数
121班的语文平均分	121班有语文平均分
15：00到17：00的数据	15：00到17：00有数据
1949年人口最多的城市	1949年人口最多有城市
1962年的人口	1962年有人口
1986年一线城市总人口	1986年一线城市有人口
1994年上海浦东的数据	1994年上海市浦东有数据
2008年北京上海男女比例	2008年北京市、上海市有男女比例
2010年的总男性人口	2010年有男性人口
2011年上海和重庆的人口	2011年上海市、重庆市有人口
2011年呼和浩特的人口	2011年呼和浩特有人口
2012年上海浦东的人的数量	2012年上海市浦东有人口
2014年第2季度居民人均可支配收入情况	2014年第2季度有居民人均可支配收入
去年四川有多少人	去年四川省有人口
2018.11.12的数据	2018年11月12日有数据
2018年利润总额	2018年有利润
2018年哪一只股价会涨	2018年股价会涨有股票
